,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
9,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
10,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
11,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
12,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0
13,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0
14,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0
15,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
16,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
17,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
18,1,1,1,0,0,0,1,2,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
19,1,1,1,0,0,1,1,2,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
20,1,1,1,0,0,1,1,2,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
21,1,1,1,0,0,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
22,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0
23,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,0,1,1,0,0,1,0,0,2,1,0,0,1,1,0,0,2,0,0
24,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,1,1,1,0,0,1,0,0,2,1,0,0,1,1,0,0,2,0,0
25,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,1,1,1,0,0,1,0,0,2,1,0,0,2,1,0,0,2,0,0
26,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,1,1,1,0,0,2,0,0,2,1,0,0,2,1,0,0,2,0,0
27,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,1,1,1,0,0,2,0,0,2,1,0,0,2,1,0,0,2,0,1
28,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,1,1,1,0,0,2,0,0,2,1,0,1,2,1,0,0,2,0,1
29,1,1,1,0,0,1,1,3,1,1,1,0,0,1,2,2,1,1,0,0,2,0,0,2,1,0,1,2,1,0,0,2,0,1
30,2,1,1,0,0,1,1,3,1,1,1,0,0,1,2,2,1,1,0,0,2,0,0,2,1,0,1,2,1,0,0,2,0,1
31,2,1,1,0,0,1,1,3,1,1,1,0,0,1,2,2,1,1,0,1,2,0,0,2,1,0,1,2,1,0,0,2,0,1
32,2,1,1,0,0,1,1,3,1,1,1,0,0,1,2,2,1,1,0,1,3,0,0,2,1,0,1,2,1,0,0,2,0,1
