,time,discounted reward
0,0,-2.0000000000000004
1,25,-24.34326506678264
2,50,-49.20073767443729
3,75,-63.22916493916821
4,100,-73.28959445769162
5,125,-78.6859018152406
6,150,-82.0157122247244
7,175,-84.7830845915424
8,200,-86.90384661550694
9,225,-88.25149795619181
10,250,-89.28869376321944
11,275,-90.43374406796624
12,300,-91.31465722914355
13,325,-92.1127325857161
14,350,-92.60540039604831
15,375,-93.18714010642404
16,400,-93.5196193931896
17,425,-93.7254955119541
18,450,-93.93645318819961
19,475,-94.09150155892964
20,500,-94.20981641754494
21,525,-94.29702934634064
22,550,-94.3612404077113
23,575,-94.39687844824628
24,600,-94.43414094395574
25,625,-94.46188280158445
26,650,-94.4826735440247
27,675,-94.49951447177487
28,700,-94.51339404585205
29,725,-94.52826391916169
30,750,-94.53891922989193
31,775,-94.54500624437519
32,800,-94.55048919783528
33,825,-94.55518720039406
34,850,-94.55867984928742
35,875,-94.56071791256532
36,900,-94.56233112600763
37,925,-94.56341260136077
38,950,-94.56429432718187
39,975,-94.56503494369161
40,1000,-94.56554841067823
41,1025,-94.56599414002245
42,1050,-94.56635277104968
43,1075,-94.56671314516039
44,1100,-94.56685521333259
45,1125,-94.56695819557231
46,1150,-94.56707299206278
47,1175,-94.56713188989782
48,1200,-94.56720747714003
49,1225,-94.56725748183949
50,1250,-94.56728646954176
51,1275,-94.56730880534614
52,1300,-94.5673219360209
53,1325,-94.56733547796658
54,1350,-94.56735001537395
55,1375,-94.5673623871374
56,1400,-94.56736708869845
57,1425,-94.56737039927225
58,1450,-94.56737294330806
59,1475,-94.56737502819183
60,1500,-94.56737756385905
61,1525,-94.56738064185238
62,1550,-94.56738248795389
63,1575,-94.56738406510549
64,1600,-94.56738539423304
65,1625,-94.56738617277978
66,1650,-94.56738649408761
67,1675,-94.56738684814356
68,1700,-94.56738718728165
69,1725,-94.56738734623451
70,1750,-94.56738746774451
71,1775,-94.56738756295256
72,1800,-94.56738762675099
73,1825,-94.56738771896505
74,1850,-94.56738777885569
75,1875,-94.56738780769274
76,1900,-94.56738784755171
77,1925,-94.56738786393738
78,1950,-94.56738787904953
79,1975,-94.56738789375224
80,2000,-94.56738790696117
81,2025,-94.56738791650602
82,2050,-94.56738792044652
83,2075,-94.56738792623062
84,2100,-94.5673879303874
85,2125,-94.56738793317713
86,2150,-94.56738793576497
87,2175,-94.56738793763671
88,2200,-94.56738793936701
89,2225,-94.56738794066275
90,2250,-94.56738794144505
91,2275,-94.56738794203007
92,2300,-94.56738794259357
93,2325,-94.56738794348045
94,2350,-94.56738794420639
95,2375,-94.56738794454552
96,2400,-94.56738794471086
97,2425,-94.56738794484151
98,2450,-94.56738794495531
99,2475,-94.56738794506474
100,2500,-94.56738794514042
101,2525,-94.56738794519858
102,2550,-94.56738794523939
103,2575,-94.56738794528178
104,2600,-94.5673879452988
105,2625,-94.56738794532069
106,2650,-94.56738794534284
107,2675,-94.56738794535926
108,2700,-94.56738794537686
109,2725,-94.56738794538552
110,2750,-94.56738794539014
111,2775,-94.567387945395
112,2800,-94.56738794540004
113,2825,-94.56738794540514
114,2850,-94.56738794540834
115,2875,-94.56738794540985
116,2900,-94.56738794541077
117,2925,-94.56738794541172
118,2950,-94.56738794541243
119,2975,-94.56738794541332
120,3000,-94.56738794541378
121,3025,-94.56738794541424
122,3050,-94.56738794541467
123,3075,-94.56738794541494
124,3100,-94.56738794541496
125,3125,-94.567387945415
126,3150,-94.56738794541526
127,3175,-94.56738794541526
128,3200,-94.56738794541526
129,3225,-94.56738794541526
130,3250,-94.56738794541526
131,3275,-94.56738794541526
132,3300,-94.56738794541526
133,3325,-94.56738794541526
134,3350,-94.56738794541526
135,3375,-94.56738794541526
136,3400,-94.56738794541526
137,3425,-94.56738794541526
138,3450,-94.56738794541526
139,3475,-94.56738794541526
140,3500,-94.56738794541526
141,3525,-94.56738794541526
142,3550,-94.56738794541526
143,3575,-94.56738794541526
144,3600,-94.56738794541526
145,3625,-94.56738794541526
146,3650,-94.56738794541526
147,3675,-94.56738794541526
148,3700,-94.56738794541526
149,3725,-94.56738794541526
150,3750,-94.56738794541526
151,3775,-94.56738794541526
152,3800,-94.56738794541526
153,3825,-94.56738794541526
154,3850,-94.56738794541526
155,3875,-94.56738794541526
156,3900,-94.56738794541526
157,3925,-94.56738794541526
158,3950,-94.56738794541526
159,3975,-94.56738794541526
160,4000,-94.56738794541526
161,4025,-94.56738794541526
162,4050,-94.56738794541526
163,4075,-94.56738794541526
164,4100,-94.56738794541526
165,4125,-94.56738794541526
166,4150,-94.56738794541526
167,4175,-94.56738794541526
168,4200,-94.56738794541526
169,4225,-94.56738794541526
170,4250,-94.56738794541526
171,4275,-94.56738794541526
172,4300,-94.56738794541526
173,4325,-94.56738794541526
174,4350,-94.56738794541526
175,4375,-94.56738794541526
176,4400,-94.56738794541526
177,4425,-94.56738794541526
178,4450,-94.56738794541526
179,4475,-94.56738794541526
180,4500,-94.56738794541526
181,4525,-94.56738794541526
182,4550,-94.56738794541526
183,4575,-94.56738794541526
184,4600,-94.56738794541526
185,4625,-94.56738794541526
186,4650,-94.56738794541526
187,4675,-94.56738794541526
188,4700,-94.56738794541526
189,4725,-94.56738794541526
190,4750,-94.56738794541526
191,4775,-94.56738794541526
192,4800,-94.56738794541526
193,4825,-94.56738794541526
194,4850,-94.56738794541526
195,4875,-94.56738794541526
196,4900,-94.56738794541526
197,4925,-94.56738794541526
198,4950,-94.56738794541526
199,4975,-94.56738794541526
200,5000,-94.56738794541526
201,5025,-94.56738794541526
202,5050,-94.56738794541526
203,5075,-94.56738794541526
204,5100,-94.56738794541526
205,5125,-94.56738794541526
206,5150,-94.56738794541526
207,5175,-94.56738794541526
208,5200,-94.56738794541526
209,5225,-94.56738794541526
210,5250,-94.56738794541526
211,5275,-94.56738794541526
212,5300,-94.56738794541526
213,5325,-94.56738794541526
214,5350,-94.56738794541526
215,5375,-94.56738794541526
216,5400,-94.56738794541526
217,5425,-94.56738794541526
218,5450,-94.56738794541526
219,5475,-94.56738794541526
220,5500,-94.56738794541526
221,5525,-94.56738794541526
222,5550,-94.56738794541526
223,5575,-94.56738794541526
224,5600,-94.56738794541526
225,5625,-94.56738794541526
226,5650,-94.56738794541526
227,5675,-94.56738794541526
228,5700,-94.56738794541526
229,5725,-94.56738794541526
