,time,discrete coefficient
0,0,2.0000000000000004
1,25,1.5888063304114686
2,50,1.3407202781331875
3,75,0.7746559412826797
4,100,1.3550394095893337
5,125,0.428017253979276
6,150,0.6462397959573237
7,175,0.5792121764755896
8,200,0.5558024142904909
9,225,0.3451247761478609
10,250,0.47805916533897796
11,275,0.7250040432504876
12,300,0.9058905674023876
13,325,0.5620124338868301
14,350,0.978076566796868
15,375,0.8110338189250899
16,400,0.5039620044960605
17,425,0.48368436336931525
18,450,0.9014329026417496
19,475,0.5656541783106378
20,500,0.5169712363945012
21,525,0.4167648069809085
22,550,0.42059948555230403
23,575,0.363485196443127
24,600,0.5195185707714705
25,625,0.5550355116617103
26,650,0.50950480768684
27,675,0.3876630206288435
28,700,0.4217308247833512
29,725,1.062081640906635
30,750,0.45461817600093085
31,775,0.6622613797332406
32,800,0.8514100261280346
33,825,0.5542134586226002
34,850,0.7941180210979544
35,875,0.40735647504167816
36,900,0.41743579531299396
37,925,0.4099248818736788
38,950,0.19338323061311738
39,975,0.5304022775920647
40,1000,0.2486541488206787
41,1025,0.599681828845723
42,1050,0.44056661397760105
43,1075,0.33556801500649913
44,1100,0.3675189889206763
45,1125,0.3180421887450269
46,1150,0.3601143291145639
47,1175,0.3578200625294583
48,1200,0.5136141198925074
49,1225,0.33548728157779745
50,1250,0.3130059504291204
51,1275,0.28393890500448854
52,1300,0.37058304799772396
53,1325,0.31261178398779577
54,1350,0.6166086271577628
55,1375,0.27795133466929856
56,1400,0.11808031425967326
57,1425,0.19756852926906385
58,1450,0.22775105856517766
59,1475,0.19544455256473503
60,1500,0.27838213887352364
61,1525,0.5044392702871652
62,1550,0.3165261183304824
63,1575,0.3991606390196843
64,1600,0.4274425192799211
65,1625,0.3063430246752171
66,1650,0.22674859776059117
67,1675,0.19676198255195992
68,1700,0.32098057437035216
69,1725,0.2537676324657823
70,1750,0.19917012448132784
71,1775,0.15008883276883822
72,1800,0.2715221087544021
73,1825,0.2600875906786827
74,1850,0.16618244310789032
75,1875,0.12236889049316657
76,1900,0.10908381997544062
77,1925,0.1439431165378223
78,1950,0.20020435690455968
79,1975,0.20253590780612377
80,2000,0.22796757848474683
81,2025,0.24601432418161123
82,2050,0.15224292612764528
83,2075,0.39093663253011124
84,2100,0.15270769849491156
85,2125,0.20916500663351892
86,2150,0.33566387412708193
87,2175,0.3207212712543255
88,2200,0.35064051583533934
89,2225,0.14760802561563433
90,2250,0.18713646944032666
91,2275,0.21829231987103828
92,2300,0.23334381491962555
93,2325,0.512840473025374
94,2350,0.2953334221643828
95,2375,0.4059328407777749
96,2400,0.15460342233689323
97,2425,0.07469070938920662
98,2450,0.15268356425704643
99,2475,0.3302022997995684
100,2500,0.18245488661205703
101,2525,0.11704527964020266
102,2550,0.32039739251594307
103,2575,0.2577571790987251
104,2600,0.1290702203242817
105,2625,0.3733878830564579
106,2650,0.23596792046660464
107,2675,0.26259663852100407
108,2700,0.3715141904673324
109,2725,0.16917343031929766
110,2750,0.1717474841980725
111,2775,0.3145933873501661
112,2800,0.3226190472842739
113,2825,0.49476576567526237
114,2850,0.2619405039614868
115,2875,0.20752440821593707
116,2900,0.12694837353341532
117,2925,0.2445251196738456
118,2950,0.08549059582965035
119,2975,0.15033444857573877
120,3000,0.3040104440224584
121,3025,0.23304768287192376
122,3050,0.28003527114708204
123,3075,0.21255489672313596
124,3100,0.0837189593325269
125,3125,0.25332906556032364
126,3150,0.268747154894697
127,3175,0.29062082467306166
128,3200,0.38807397615304096
129,3225,0.28444597135247307
130,3250,0.14641101091761888
131,3275,0.3749468499749297
132,3300,0.1955489781311768
133,3325,0.13252163397375685
134,3350,0.20608041101101562
135,3375,0.16070608663330624
136,3400,0.15900927839998502
137,3425,0.19733960808303877
138,3450,0.17351598173515984
139,3475,0.3468825499060961
140,3500,0.3660834308782502
141,3525,0.10153226962472538
142,3550,0.4321962230894963
143,3575,0.19900743804199783
144,3600,0.24994739675782032
145,3625,0.15922945443191053
146,3650,0.30181927400955894
147,3675,0.1823660562501208
148,3700,0.1291617411517131
149,3725,0.21669374879444844
150,3750,0.13454680082510012
151,3775,0.17768960204400314
152,3800,0.08815942859039479
153,3825,0.17701441260066458
154,3850,0.14145211003918168
155,3875,0.24754100960628983
156,3900,0.33900500268796746
157,3925,0.3856812155135378
158,3950,0.3006074550126484
159,3975,0.1849445812284884
160,4000,0.17339650379020038
161,4025,0.18608073189119675
162,4050,0.17108933549596664
163,4075,0.5410637670367515
164,4100,0.18536835194312096
165,4125,0.2872281323269015
166,4150,0.13799861697667343
167,4175,0.5478262014860877
168,4200,0.24138069342648047
169,4225,0.22547166472375244
170,4250,0.12919673519701555
171,4275,0.2541662450242741
172,4300,0.35743261621502886
173,4325,0.40801644771856216
174,4350,0.2844375875158249
175,4375,0.4423599467460941
176,4400,0.1647018830842354
177,4425,0.2371409447235949
178,4450,0.2299433075015773
179,4475,0.25252375121366366
180,4500,0.26737471418939723
181,4525,0.5928523618089874
182,4550,0.5240053681772053
183,4575,0.40641354241169336
184,4600,0.15818312102633778
185,4625,0.22077072254752522
186,4650,0.1095186730643729
187,4675,0.13654014739575426
188,4700,0.37214271846067126
189,4725,0.30023354785287387
190,4750,0.3292240493444674
191,4775,0.1572843954126412
192,4800,0.27141712424227954
193,4825,0.17057205980525325
194,4850,0.20089159231386228
195,4875,0.1575639200099086
196,4900,0.2030229016219928
197,4925,0.1569581160002855
198,4950,0.22667301297153242
199,4975,0.15840814523803964
200,5000,0.25935129567462595
201,5025,0.48564370548115765
202,5050,0.31012715254269674
203,5075,0.06530686981396332
204,5100,0.2770152714696125
205,5125,0.14890794240898617
206,5150,0.29942945146346284
207,5175,0.2664442359705506
208,5200,0.14124665406285072
209,5225,0.15955687779995273
210,5250,0.2743426062574573
211,5275,0.08390844942854817
212,5300,0.20004526423052188
213,5325,0.24129455522628884
214,5350,0.11128819732378033
215,5375,0.24557355622613156
216,5400,0.12421775105978153
217,5425,0.28248203203340805
218,5450,0.08674425758289898
219,5475,0.7028372543494107
220,5500,0.2620367490495313
221,5525,0.18878690597541078
222,5550,0.24700416900834105
223,5575,0.4491437451487312
224,5600,0.17823803672020622
225,5625,0.16401642290847437
226,5650,0.18247916933846384
227,5675,0.5032765750356544
228,5700,0.2905350445894411
229,5725,0.2493065173881108
230,5750,0.31629831892828375
231,5775,0.2518831115947243
232,5800,0.13601373569466638
233,5825,0.16216216216216217
234,5850,0.1319437920567357
235,5875,0.24638501025486237
236,5900,0.12142632318385524
237,5925,0.2810187422877486
238,5950,0.2745105613895469
239,5975,0.12140522651411392
