,time,discounted reward
0,0,-2.0
1,25,-14.800644828847796
2,50,-26.34328396070447
3,75,-35.29665332956017
4,100,-40.72588147734326
5,125,-43.375247949786
6,150,-45.001893784850346
7,175,-46.23592993584035
8,200,-47.04425551521044
9,225,-47.56196553750629
10,250,-48.06042049097871
11,275,-48.43970537392952
12,300,-48.73170597468907
13,325,-48.901766730060665
14,350,-49.128079042806895
15,375,-49.23732291981531
16,400,-49.315248114514716
17,425,-49.38898456885586
18,450,-49.4449579208659
19,475,-49.50332721677531
20,500,-49.57036764859806
21,525,-49.61876882346479
22,550,-49.640405514472235
23,575,-49.66014979287129
24,600,-49.67413337889217
25,625,-49.68306296534005
26,650,-49.69417366737448
27,675,-49.70224913958306
28,700,-49.712888530916686
29,725,-49.71762658076793
30,750,-49.71998757838047
31,775,-49.72269759733226
32,800,-49.72431139479219
33,825,-49.72538606987949
34,850,-49.72597850125512
35,875,-49.726793779425215
36,900,-49.727394666468726
37,925,-49.72776911706206
38,950,-49.72823148345463
39,975,-49.728534152568436
40,1000,-49.72872151650314
41,1025,-49.72885255989209
42,1050,-49.728966194999735
43,1075,-49.72911487434008
44,1100,-49.72922489446361
45,1125,-49.72928618059697
46,1150,-49.729341700333876
47,1175,-49.72937480478601
48,1200,-49.729394748445806
49,1225,-49.729418624605145
50,1250,-49.729431680338976
51,1275,-49.72945800234045
52,1300,-49.72948015611417
53,1325,-49.729489746419965
54,1350,-49.72949454670579
55,1375,-49.729500575746044
56,1400,-49.72950450189072
57,1425,-49.72950815377274
58,1450,-49.72951031781868
59,1475,-49.72951243468699
60,1500,-49.72951384471316
61,1525,-49.72951512433468
62,1550,-49.72951605758796
63,1575,-49.729516862698475
64,1600,-49.72951749211526
65,1625,-49.729517838068595
66,1650,-49.729518134175734
67,1675,-49.7295183453627
68,1700,-49.72951860506505
69,1725,-49.729518743813436
70,1750,-49.72951883843635
71,1775,-49.729518957578506
72,1800,-49.729519040003716
73,1825,-49.72951913165483
74,1850,-49.72951917375778
75,1875,-49.72951922457247
76,1900,-49.72951924577325
77,1925,-49.72951926551251
78,1950,-49.72951927594852
79,1975,-49.72951928591128
80,2000,-49.72951929537343
81,2025,-49.72951930056523
82,2050,-49.72951930681364
83,2075,-49.72951931380382
84,2100,-49.72951931625476
85,2125,-49.729519319583545
86,2150,-49.729519322440005
87,2175,-49.729519324209825
88,2200,-49.72951932540101
89,2225,-49.72951932635434
90,2250,-49.72951932716217
91,2275,-49.729519327854845
92,2300,-49.729519328296746
93,2325,-49.72951932859826
94,2350,-49.72951932891821
95,2375,-49.729519329122894
96,2400,-49.7295193293384
97,2425,-49.72951932945468
98,2450,-49.72951932954755
99,2475,-49.72951932963009
100,2500,-49.729519329693076
101,2525,-49.72951932977234
102,2550,-49.729519329809115
103,2575,-49.7295193298385
104,2600,-49.72951932986869
105,2625,-49.72951932988597
106,2650,-49.72951932990163
107,2675,-49.729519329910325
108,2700,-49.72951932991737
109,2725,-49.729519329923185
110,2750,-49.729519329928806
111,2775,-49.729519329933
112,2800,-49.729519329935954
113,2825,-49.729519329939265
114,2850,-49.729519329940885
115,2875,-49.72951932994193
116,2900,-49.72951932994264
117,2925,-49.729519329943585
118,2950,-49.72951932994434
119,2975,-49.729519329945234
120,3000,-49.72951932994584
121,3025,-49.729519329946086
122,3050,-49.729519329946335
123,3075,-49.729519329946555
124,3100,-49.729519329946704
125,3125,-49.72951932994687
126,3150,-49.72951932994694
127,3175,-49.729519329946946
128,3200,-49.729519329946946
129,3225,-49.729519329946946
130,3250,-49.729519329946946
131,3275,-49.729519329946946
132,3300,-49.729519329946946
133,3325,-49.729519329946946
134,3350,-49.729519329946946
135,3375,-49.729519329946946
136,3400,-49.729519329946946
137,3425,-49.729519329946946
138,3450,-49.729519329946946
139,3475,-49.729519329946946
140,3500,-49.729519329946946
141,3525,-49.729519329946946
142,3550,-49.729519329946946
143,3575,-49.729519329946946
144,3600,-49.729519329946946
145,3625,-49.729519329946946
146,3650,-49.729519329946946
147,3675,-49.729519329946946
148,3700,-49.729519329946946
149,3725,-49.729519329946946
150,3750,-49.729519329946946
151,3775,-49.729519329946946
152,3800,-49.729519329946946
153,3825,-49.729519329946946
154,3850,-49.729519329946946
155,3875,-49.729519329946946
156,3900,-49.729519329946946
157,3925,-49.729519329946946
158,3950,-49.729519329946946
159,3975,-49.729519329946946
160,4000,-49.729519329946946
161,4025,-49.729519329946946
162,4050,-49.729519329946946
163,4075,-49.729519329946946
164,4100,-49.729519329946946
165,4125,-49.729519329946946
166,4150,-49.729519329946946
167,4175,-49.729519329946946
168,4200,-49.729519329946946
169,4225,-49.729519329946946
170,4250,-49.729519329946946
171,4275,-49.729519329946946
172,4300,-49.729519329946946
173,4325,-49.729519329946946
174,4350,-49.729519329946946
175,4375,-49.729519329946946
176,4400,-49.729519329946946
177,4425,-49.729519329946946
178,4450,-49.729519329946946
179,4475,-49.729519329946946
180,4500,-49.729519329946946
181,4525,-49.729519329946946
182,4550,-49.729519329946946
183,4575,-49.729519329946946
184,4600,-49.729519329946946
185,4625,-49.729519329946946
186,4650,-49.729519329946946
187,4675,-49.729519329946946
188,4700,-49.729519329946946
189,4725,-49.729519329946946
190,4750,-49.729519329946946
191,4775,-49.729519329946946
192,4800,-49.729519329946946
193,4825,-49.729519329946946
194,4850,-49.729519329946946
195,4875,-49.729519329946946
196,4900,-49.729519329946946
197,4925,-49.729519329946946
198,4950,-49.729519329946946
199,4975,-49.729519329946946
200,5000,-49.729519329946946
201,5025,-49.729519329946946
202,5050,-49.729519329946946
203,5075,-49.729519329946946
204,5100,-49.729519329946946
205,5125,-49.729519329946946
206,5150,-49.729519329946946
207,5175,-49.729519329946946
208,5200,-49.729519329946946
209,5225,-49.729519329946946
210,5250,-49.729519329946946
211,5275,-49.729519329946946
212,5300,-49.729519329946946
213,5325,-49.729519329946946
214,5350,-49.729519329946946
215,5375,-49.729519329946946
216,5400,-49.729519329946946
217,5425,-49.729519329946946
218,5450,-49.729519329946946
219,5475,-49.729519329946946
220,5500,-49.729519329946946
221,5525,-49.729519329946946
222,5550,-49.729519329946946
223,5575,-49.729519329946946
224,5600,-49.729519329946946
225,5625,-49.729519329946946
226,5650,-49.729519329946946
227,5675,-49.729519329946946
228,5700,-49.729519329946946
229,5725,-49.729519329946946
230,5750,-49.729519329946946
231,5775,-49.729519329946946
232,5800,-49.729519329946946
233,5825,-49.729519329946946
234,5850,-49.729519329946946
235,5875,-49.729519329946946
236,5900,-49.729519329946946
237,5925,-49.729519329946946
238,5950,-49.729519329946946
239,5975,-49.729519329946946
